Property No. ,Type of Access (X2),Neighbourhood Status (X3),Building Condition (X4),Type of Walls (X5),Type of Wall finish (X6),Type of Floor Finish (X7),Type of Ceiling (X8),NWSC Availabilty (X9),Hydro Power Availabilty (X10),Type of Saniation Facility (X11),Availabilty of Parking Space (X12),Type of Security (X13),Type of Boundary Wall (X14),Occupency Type ,Carpet Area ,Usage Type,Usage SubType,ALV,RV,Property Tax,Avg. Property Rate (per SQM)
P117006858,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,50.6,INSTITUTIONAL,Classroom_Lecture_rooms,2601244.286,1820871,109252.26,2159.14
P117006859,Main Road,SLUM,FAIR,TIMBER,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,5.02,INSTITUTIONAL,Canteen_Cafeteria,432000,302400,18144,3614.34
P117006863,Side Road,SLUM,DILAPIDATED,MUD WATTLE,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,NONE,RENTED,80.1,RESIDENTIALRENTED,TenementMuzigo,1350000,1053000,63180,788.76
P117006864,Side Road,SLUM,POOR,TIMBER,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,NONE,RENTED,56.12,RESIDENTIALRENTED,TenementMuzigo,1080000,842400,50544,900.64
P117006870,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,55.76,COMMERCIAL,Retail_Space_Rear_Room,2808000,1965600,117936,2115.06
P117006871,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,95.2,INSTITUTIONAL,Classroom_Lecture_rooms,2995200,2096640,125798.4,1321.41
P117006872,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,92.46,INSTITUTIONAL,Classroom_Lecture_rooms,2246400,1572480,94348.8,1020.43
P117006873,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,27.72,INSTITUTIONAL,Office,1497600,1048320,62899.2,2269.09
P117006874,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,52.59,INSTITUTIONAL,Classroom_Lecture_rooms,1497600,1048320,62899.2,1196.03
P117006877,Footpath,SLUM,FAIR,BRICKS,PAINTED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,DOGS,NONE,RENTED,188.6,COMMERCIAL,Workshop,1728000,1209600,72576,384.81
P117006878,Footpath,SLUM,FAIR,BRICKS,PAINTED,NONE,NONE,NONE,NONE,PITLATRINE,NO,DOGS,NONE,RENTED,16,COMMERCIAL,Kiosk,216000,151200,9072,567.00
P117006879,Footpath,SLUM,FAIR,BRICKS,PAINTED,NONE,NONE,NONE,HYDRO,PITLATRINE,NO,DOGS,NONE,RENTED,16,COMMERCIAL,Kiosk,216000,151200,9072,567.00
P117006880,Main Road,HIGH CLASS,GOOD,BRICKS,CLAY BRICKS,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,210.1,COMMERCIAL,Retail_Space_Rear_Room,7714871.429,5400410,324024.6,1542.24
P117006883,Main Road,MIDDLE CLASS,GOOD,METALLIC SHEETING,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,1776.88,COMMERCIAL,Retail_Space,114182308.6,79927616,4795656.96,2698.92
P117006885,Main Road,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,41.8,RESIDENTIALRENTED,TenementMuzigo,6480000,5054400,303264,7255.12
P117006886,Main Road,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,18,RESIDENTIALRENTED,TenementMuzigo,900000,702000,42120,2340.00
P117006887,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,RAZOR WIRE,WALL,RENTED,117,COMMERCIAL,Retail_Space_Rear_Room,6750000,5265000,315900,2700.00
P117006889,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,30.59,COMMERCIAL,Bar_Club,917332.8571,642133,38527.98,1259.50
P117006893,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,56.12,RESIDENTIALRENTED,TenementMuzigo,5400000,4212000,252720,4503.21
P117006894,Footpath,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,34,RESIDENTIALRENTED,TenementMuzigo,2160000,1684800,101088,2973.18
P117006900,Footpath,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,79.92,RESIDENTIALRENTED,TenementMuzigo,1965600,1375920,82555.2,1032.97
P117006901,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,RAZOR WIRE,WALL,RENTED,1183.44,COMMERCIAL,Hostel,77280000,54096000,3245760,2742.65
P117006902,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,RAZOR WIRE,WALL,RENTED,63,COMMERCIAL,Hostel,2520000,1764000,105840,1680.00
P117006903,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,RAZOR WIRE,WALL,RENTED,69.55,COMMERCIAL,Hostel,2520000,1764000,105840,1521.78
P117006904,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,RAZOR WIRE,WALL,RENTED,25.47,COMMERCIAL,Retail_Space,6720000,4704000,282240,11081.27
P117006907,Main Road,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,63.7,RESIDENTIALRENTED,TenementMuzigo,6480000,5054400,303264,4760.82
P117006910,Footpath,SLUM,POOR,MUD WATTLE,ROUGH CAST,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,98.46,RESIDENTIALRENTED,TenementMuzigo,1965600,1375920,82555.2,838.46
P117006913,Main Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,NONE,RENTED,88.972,RESIDENTIALRENTED,TenementMuzigo,5400000,4212000,252720,2840.44
P117006914,Main Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,NONE,RENTED,68.63,RESIDENTIALRENTED,TenementMuzigo,4500000,3510000,210600,3068.63
P117006917,Side Road,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,102.9,RESIDENTIALRENTED,TenementMuzigo,5670000,4422600,265356,2578.78
P117006918,Side Road,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,41.58,RESIDENTIALRENTED,TenementMuzigo,1890000,1474200,88452,2127.27
P117006919,Side Road,SLUM,GOOD,BRICKS,CLAY BRICKS,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL,RENTED,1090.64,COMMERCIAL,Hostel,76050000,45630000,2737800,2510.27
P117006920,Side Road,SLUM,GOOD,BRICKS,ROUGH CAST,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,137.85,COMMERCIAL,Hostel,11610000,6966000,417960,3031.99
P117006921,Main Road,MIDDLE CLASS,GOOD,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,CHAIN LINK,RENTED,89.06,COMMERCIAL,Office_Space,11212677.14,7848874,470932.44,5287.81
P117006923,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,194.09,RESIDENTIALRENTED,Apartment,12600000,9828000,589680,3038.18
P117006924,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,49.33,RESIDENTIALRENTED,TenementMuzigo,3600000,2808000,168480,3415.37
P117006927,Footpath,SLUM,FAIR,MUD WATTLE,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,38.48,RESIDENTIALRENTED,TenementMuzigo,270000,210600,12636,328.38
P117006928,Footpath,SLUM,POOR,MUD WATTLE,UNPLASTERED,NONE,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,45.22,RESIDENTIALRENTED,TenementMuzigo,1176000,823200,49392,1092.26
P117006930,Footpath,SLUM,POOR,MUD WATTLE,UNPLASTERED,NONE,NONE,NONE,NONE,PITLATRINE,NO,NONE,NONE,RENTED,54.6,RESIDENTIALRENTED,TenementMuzigo,810000,631800,37908,694.29
P117006931,Main Road,HIGH CLASS,FAIR,BRICKS,TILES,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,5,COMMERCIAL,Retail_Space,2507142.857,1755000,105300,21060.00
P117006932,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,NONE,RENTED,261.8,COMMERCIAL,Retail_Space_Rear_Room,27077142.86,18954000,1137240,4343.93
P117006933,Side Road,SLUM,FAIR,IRON SHEETS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,84,COMMERCIAL,Kiosk,1504285.714,1053000,63180,752.14
P117006934,Side Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,55.33,COMMERCIAL,Retail_Space,703135.7143,492195,29531.7,533.74
P117006937,Footpath,SLUM,POOR,TIMBER,UNPLASTERED,CEMENT SCREED,NONE,NONE,NONE,PITLATRINE,NO,NONE,NONE,RENTED,10.92,RESIDENTIALRENTED,TenementMuzigo,540000,421200,25272,2314.29
P117006938,Side Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,51.7,COMMERCIAL,Retail_Space,650888.5714,455622,27337.32,528.77
P117006941,Side Road,SLUM,FAIR,MUD WATTLE,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,22.48,RESIDENTIALRENTED,TenementMuzigo,4500000,3510000,210600,9368.33
P117006943,Side Road,SLUM,FAIR,MUD WATTLE,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,63.63,RESIDENTIALRENTED,TenementMuzigo,3600000,2808000,168480,2647.81
P117006944,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,34.89,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,2414.45
P117006945,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,54.87,RESIDENTIALRENTED,TenementMuzigo,2700000,2106000,126360,2302.90
P117006946,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,42.9,RESIDENTIALRENTED,Mainbuilding,2160000,1684800,101088,2356.36
P117006947,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,115.81,RESIDENTIALRENTED,TenementMuzigo,4860000,3790800,227448,1963.98
P117006949,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,NONE,RENTED,47.11,COMMERCIAL,Retail_Space_Rear_Room,2340000,1825200,109512,2324.60
P117006952,Footpath,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,49.25,RESIDENTIALRENTED,TenementMuzigo,2520000,1965600,117936,2394.64
P117006953,Footpath,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLYWOOD,NONE,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,41.31,RESIDENTIALRENTED,TenementMuzigo,2700000,2106000,126360,3058.82
P117006954,Footpath,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLYWOOD,NONE,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,8.8,RESIDENTIALRENTED,TenementMuzigo,630000,491400,29484,3350.45
P117006955,Side Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,YES,NONE,NONE,RENTED,50.72,COMMERCIAL,Retail_Space,1440000,1123200,67392,1328.71
P117006958,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,YES,NONE,NONE,RENTED,104.37,RESIDENTIALRENTED,Mainbuilding,3150000,2457000,147420,1412.47
P117006959,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,20.32,RESIDENTIALRENTED,TenementMuzigo,1440000,1123200,67392,3316.54
P117006962,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,46.63,RESIDENTIALRENTED,TenementMuzigo,540000,421200,25272,541.97
P117006963,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,18.7,RESIDENTIALRENTED,TenementMuzigo,900000,702000,42120,2252.41
P117006965,Side Road,SLUM,POOR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,21.75,RESIDENTIALRENTED,TenementMuzigo,900000,702000,42120,1936.55
P117006966,Main Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,59.13,COMMERCIAL,Retail_Space_Rear_Room,14040000,9828000,589680,9972.60
P117006967,Side Road,SLUM,POOR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,22.5,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,3744.00
P117006968,Side Road,SLUM,POOR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,36.8,RESIDENTIALRENTED,TenementMuzigo,2700000,2106000,126360,3433.70
P117006969,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,99.32,RESIDENTIALRENTED,TenementMuzigo,5400000,4212000,252720,2544.50
P117006970,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,54.42,RESIDENTIALRENTED,TenementMuzigo,2700000,2106000,126360,2321.94
P117006971,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,WOOD STRIPS,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,ELECTRIC FENCING,WALL,RENTED,39.91,COMMERCIAL,Office_Space,1800000,1404000,84240,2110.75
P117006972,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,25.63,COMMERCIAL,Retail_Space,720000,504000,30240,1179.87
P117006973,Main Road,MIDDLE CLASS,GOOD,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL,RENTED,89.5,COMMERCIAL,Restaurant,5040000,3528000,211680,2365.14
P117006978,Side Road,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,26.71,RESIDENTIALRENTED,TenementMuzigo,1890000,1474200,88452,3311.57
P117006979,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,70.2,RESIDENTIALRENTED,TenementMuzigo,5040000,3931200,235872,3360.00
P117006980,Side Road,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,44.25,COMMERCIAL,Retail_Space_Rear_Room,2730000,1978200,118692,2682.31
P117006981,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,60.37,COMMERCIAL,Retail_Space_Rear_Room,1882285.714,1317600,79056,1309.52
P117006982,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,113.66,RESIDENTIALRENTED,TenementMuzigo,5670000,4422600,265356,2334.65
P117006983,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,230.2,RESIDENTIALRENTED,TenementMuzigo,10080000,7862400,471744,2049.28
P117006985,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,PVC TILES,ACOUSTIC,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,WALL,RENTED,200.68,COMMERCIAL,Retail_Space_Office_Space,20633114.29,14443180,866590.8,4318.27
P117006986,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,ACOUSTIC,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,WALL,RENTED,38.53,COMMERCIAL,Office_Space,2641000,1848700,110922,2878.85
P117006987,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NONE,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,142.1,COMMERCIAL,Retail_Space_Rear_Room,10491428.57,7344000,440640,3100.91
P117006988,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,53,RESIDENTIALRENTED,TenementMuzigo,2880000,2246400,134784,2543.09
P117006991,Main Road,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,PLASTERED,NONE,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,60.58,RESIDENTIALRENTED,TenementMuzigo,2880000,2246400,134784,2224.89
P117006993,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,8867.11,RESIDENTIALRENTED,Apartment,213170154,155060493,9303629.58,1049.23
P117006995,Main Road,HIGH CLASS,FAIR,METALLIC SHEETING,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,236.27,RESIDENTIALRENTED,Mainbuilding,40500000,31590000,1895400,8022.18
P117006996,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,206.85,RESIDENTIALRENTED,Mainbuilding,27000000,21060000,1263600,6108.77
P117006997,Main Road,HIGH CLASS,FAIR,METALLIC SHEETING,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,181.32,RESIDENTIALRENTED,Mainbuilding,27000000,21060000,1263600,6968.89
P117006999,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,WALL,RENTED,416.12,RESIDENTIALRENTED,Apartment,11520000,8064000,483840,1162.74
P117007000,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,WALL,RENTED,51.73,COMMERCIAL,Stores,2880000,2016000,120960,2338.29
P117007001,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,WALL,RENTED,23.67,RESIDENTIALRENTED,Outbuilding,720000,504000,30240,1277.57
P117007004,Main Road,SLUM,GOOD,BRICKS,PAINTED,CEMENT SCREED,PLYWOOD,NONE,HYDRO,PITLATRINE,YES,NONE,WALL,RENTED,6.12,COMMERCIAL,Retail_Space,1504285.714,1053000,63180,10323.53
P117007005,Main Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,44.96,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,1873.67
P117007006,Main Road,HIGH CLASS,POOR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,WALL,RENTED,4027.58,COMMERCIAL,Retail_Space_Office_Space,265086785.7,185560750,11133645,2764.35
P117007007,Main Road,MIDDLE CLASS,POOR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,33,RESIDENTIALRENTED,Outbuilding,3298680,1979208,118752.48,3598.56
P117007008,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,293,COMMERCIAL,Restaurant,30125088.57,21087562,1265253.72,4318.27
P117007009,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,106.6,RESIDENTIALRENTED,TenementMuzigo,6393442,3836065,230163.9,2159.14
P117007010,Main Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,122.3,COMMERCIAL,Office_Space,10478664.29,7335065,440103.9,3598.56
P117007011,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,137.6,COMMERCIAL,Bar_Club,9431654.286,6602158,396129.48,2878.85
P117007012,Side Road,SLUM,GOOD,BRICKS,CLAY BRICKS,CEMENT SCREED,PLASTERED PAINTED,NONE,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,90.36,RESIDENTIALRENTED,TenementMuzigo,6750000,5265000,315900,3496.02
P117007014,Side Road,SLUM,GOOD,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,NONE,RENTED,80.76,RESIDENTIALRENTED,TenementMuzigo,5400000,4212000,252720,3129.27
P117007015,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,METAL GRILLES,RENTED,191.8,RESIDENTIALRENTED,Apartment,11700000,9126000,547560,2854.85
P117007016,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,METAL GRILLES,RENTED,159.09,RESIDENTIALRENTED,Apartment,9450000,7371000,442260,2779.94
P117007017,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,261.49,RESIDENTIALRENTED,Apartment,11700000,9126000,547560,2094.00
P117007018,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,ELECTRIC FENCING,WALL,RENTED,97.41,RESIDENTIALRENTED,Mainbuilding,7200000,5616000,336960,3459.19
